state,moisture_percent,time,pump_state,LDR
dry,378,13:32:55,0,966
dry,377,13:33:55,0,1023
dry,377,13:34:55,0,990
dry,378,13:35:55,0,1023
dry,379,13:36:55,0,9999
dry,376,13:37:55,0,966
dry,378,13:38:55,0,948
dry,379,13:39:55,0,973
dry,380,13:40:55,0,988
dry,378,13:41:55,0,1023
dry,380,13:42:55,0,1003
dry,378,13:43:55,0,1023
dry,378,13:44:55,0,952
dry,375,13:45:55,0,1007
dry,379,13:46:55,0,1012
dry,383,13:47:55,0,992
dry,383,13:48:55,0,955
dry,385,13:49:55,0,955
dry,382,13:50:55,0,959
dry,387,13:51:55,0,1012
dry,381,13:52:55,0,1014
dry,387,13:53:55,0,1012
dry,385,13:54:55,0,1023
dry,386,13:55:55,0,1023
dry,384,13:56:55,0,1009
dry,386,13:57:55,0,977
dry,385,13:58:55,0,954
dry,388,13:59:55,0,1009
dry,385,14:00:55,0,1023
dry,388,14:01:55,0,1010
dry,388,14:02:55,0,933
dry,383,14:03:55,0,1014
dry,386,14:04:55,0,977
dry,385,14:05:55,0,992
dry,388,14:06:55,0,963
dry,385,14:07:55,0,944
dry,389,14:08:55,0,988
dry,389,14:09:55,0,977
dry,389,14:10:55,0,1001
dry,389,14:11:55,0,931
dry,392,14:12:55,0,975
dry,391,14:13:55,0,997
dry,388,14:14:55,0,1006
dry,392,14:15:55,0,990
dry,391,14:16:55,0,972
dry,394,14:17:55,0,989
dry,395,14:18:55,0,958
dry,392,14:19:55,0,964
dry,390,14:20:55,0,0
dry,395,14:21:55,0,946
dry,398,14:22:55,0,951
dry,391,14:23:55,0,1006
dry,394,14:24:55,0,-10
dry,399,14:25:55,0,969
dry,394,14:26:55,0,951
dry,397,14:27:55,0,968
dry,396,14:28:55,0,956
dry,401,14:29:55,0,975
dry,397,14:30:55,0,982
dry,400,14:31:55,0,948
dry,395,14:32:55,0,951
dry,400,14:33:55,0,996
dry,401,14:34:55,0,937
dry,397,14:35:55,0,1006
dry,399,14:36:55,0,990
dry,401,14:37:55,0,950
dry,405,14:38:55,0,-10
dry,398,14:39:55,0,991
dry,402,14:40:55,0,939
dry,399,14:41:55,0,1016
dry,400,14:42:55,0,991
dry,403,14:43:55,0,1023
dry,407,14:44:55,0,1011
dry,400,14:45:55,0,1007
dry,404,14:46:55,0,1022
dry,406,14:47:55,0,994
dry,404,14:48:55,0,958
dry,406,14:49:55,0,956
dry,404,14:50:55,0,1008
dry,407,14:51:55,0,1012
dry,406,14:52:55,0,1023
dry,408,14:53:55,0,986
dry,402,14:54:55,0,957
dry,407,14:55:55,0,986
dry,404,14:56:55,0,948
dry,404,14:57:55,0,992
dry,406,14:58:55,0,1018
dry,407,14:59:55,0,966
dry,407,15:00:55,0,936
dry,413,15:01:55,0,997
dry,408,15:02:55,0,932
dry,405,15:03:55,0,963
dry,408,15:04:55,0,939
dry,411,15:05:55,0,1003
dry,407,15:06:55,0,912
dry,407,15:07:55,0,930
dry,408,15:08:55,0,917
dry,414,15:09:55,0,956
dry,411,15:10:55,0,915
dry,411,15:11:55,0,971
dry,414,15:12:55,0,924
dry,411,15:13:55,0,986
dry,412,15:14:55,0,966
dry,413,15:15:55,0,997
dry,413,15:16:55,0,960
dry,411,15:17:55,0,913
dry,411,15:18:55,0,996
dry,414,15:19:55,0,994
dry,412,15:20:55,0,942
dry,417,15:21:55,0,954
dry,414,15:22:55,0,966
dry,413,15:23:55,0,959
dry,419,15:24:55,0,925
dry,418,15:25:55,0,962
dry,415,15:26:55,0,923
dry,413,15:27:55,0,1002
dry,421,15:28:55,0,998
dry,422,15:29:55,0,949
dry,419,15:30:55,0,976
dry,420,15:31:55,0,928
dry,424,15:32:55,0,987
dry,420,15:33:55,0,980
dry,418,15:34:55,0,941
dry,423,15:35:55,0,970
dry,422,15:36:55,0,926
dry,425,15:37:55,0,969
dry,421,15:38:55,0,962
dry,422,15:39:55,0,968
dry,420,15:40:55,0,984
